Document Link,title
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=506438&type=FORM_FILLED_PDF,DOUGLAS CO-CEDAR MT/WORTHAN RD PH 1 (SL)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=505382&type=FORM_FILLED_PDF,LAFAYETTE-COFFMAN SPRINGS RD (L)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=504634&type=FORM_FILLED_PDF,UWL/RICHLAND CREEK ROAD SANITARY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=500974&type=FORM_FILLED_PDF,PAULDING COUNTY MSWL & TRANSFER STATION
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=495629&type=FORM_FILLED_PDF,"FITZGERALD, KIOCHEE CHURCH RD, PH.2"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=494106&type=FORM_FILLED_PDF,CANDLER COUNTY BOC LANDFILL DBA CANDLER COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=491084&type=FORM_FILLED_PDF,COWETA CO. - ISHMAN BALLARD RD C/D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=491081&type=FORM_FILLED_PDF,COWETA CO. - ISHMAN BALLARD RD C/D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=490751&type=FORM_FILLED_PDF,JENKINS COUNTY TRANSFER STATION
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=490040&type=FORM_FILLED_PDF,LAURENS COUNTY OLD MACON RD. LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=489857&type=FORM_FILLED_PDF,HALL CO - CANDLER RD (SR 60)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=489770&type=FORM_FILLED_PDF,DOUGHERTY COUNTY FLEMING/GAISSERT RD MSW LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=489157&type=FORM_FILLED_PDF,TIFTON/TIFT COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=488895&type=FORM_FILLED_PDF,MACON CO. - MIDDLE GA SWMA REGIONAL MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=488735&type=FORM_FILLED_PDF,THOMAS CO - THOMASVILLE/SUNSET DR PH 3 C/D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=488733&type=FORM_FILLED_PDF,THOMASVILLE/SUNSET DR PHASES IV & V MSWL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=488722&type=FORM_FILLED_PDF,EVANS COUNTY LITTLE BULL CREEK C&D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=488587&type=FORM_FILLED_PDF,LAMAR COUNTY REGIONAL SOLID WASTE AUTHORITY
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487860&type=FORM_FILLED_PDF,POLK COUNTY SOLID WASTE MANAGEMENT
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487686&type=FORM_FILLED_PDF,R&B LANDFILL (SITE 2)
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487658&type=FORM_FILLED_PDF,SUPERIOR LANDFILL & RECYCLING CENTER
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487639&type=FORM_FILLED_PDF,WILLOW OAK LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487300&type=FORM_FILLED_PDF,"STEPHENS MDS, LP PROCESSING FACILITY"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487071&type=FORM_FILLED_PDF,MURRAY COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=487031&type=FORM_FILLED_PDF,JASPER COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=486889&type=FORM_FILLED_PDF,"WOLF CREEK LANDFILL, LLC"
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=486777&type=FORM_FILLED_PDF,RABUN COUNTY - BOGGS MOUNTAIN ROAD C&D LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=486707&type=FORM_FILLED_PDF,JASPER COUNTY LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=486693&type=FORM_FILLED_PDF,DECATUR COUNTY SOLID WASTE FACILITY
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=486115&type=FORM_FILLED_PDF,GFL ENVIRONMENTAL - EAGLE POINT LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=485767&type=FORM_FILLED_PDF,FRANKLIN COUNTY - SR 51 CONSTRUCTION/DEMOLITION LANDFILL
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=485702&type=FORM_FILLED_PDF,CAMDEN COUNTY SOLID WASTE DEPARTMENT
https://geos.epd.georgia.gov/GA/GEOS/Public/EnSuite/Shared/pages/util/StreamDoc.ashx?id=2148&subFormId=485698&type=FORM_FILLED_PDF,CAMDEN CO-SR110 MSWL
